Info 0    [11:52:13.100] Starting TS Server
Info 1    [11:52:13.103] Version: 3.7.3
Info 2    [11:52:13.103] Arguments: /Users/knowledge/.nvm/versions/node/v12.10.0/bin/node /usr/local/bin/tsserver --logFile /Users/knowledge/Developer/fabric/application/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/kp/h53ckn353pxgxpz_wtzqcvv40000gn/T/a60f6a0743927a11324a18f905ee8c67/tscancellation*
Info 3    [11:52:13.103] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [11:52:13.114] Search path: /Users/knowledge/Developer/fabric/application/pages
Info 5    [11:52:13.115] For info: /Users/knowledge/Developer/fabric/application/pages/index.tsx :: No config files found.
Info 6    [11:52:13.120] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [11:52:14.662] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1542ms
Info 8    [11:52:14.663] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [11:52:14.663] 	Files (175)

Info 10   [11:52:14.663] -----------------------------------------------
Info 11   [11:52:26.255] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [11:52:26.269] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 13ms
Info 13   [11:52:26.269] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [11:52:26.751] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [11:52:26.759] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 8ms
Info 16   [11:52:26.759] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 17   [11:52:26.843] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [11:52:26.853] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 10ms
Info 19   [11:52:26.853] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 20   [11:52:26.856] getCompletionData: Get current token: 0
Info 21   [11:52:26.856] getCompletionData: Is inside comment: 0
Info 22   [11:52:26.856] getCompletionData: Get previous token 1: 0
Info 23   [11:52:26.856] getCompletionData: Get previous token 2: 0
Info 24   [11:52:26.857] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 25   [11:52:26.861] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 26   [11:52:26.874] forEachExternalModuleToImportFrom: filtered out 18 modules by package.json contents
